DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
448851038.57,50.72,0.8,50.91,14.66,454.53,0,0,0,0,0,
448851036.56,79.68,1.48,62.62,19.1,454.53,0,0,0,0,0,
448851034.54,0.06,0,0,0.06,454.53,0,0,0,0,0,
448851032.53,0,0,0,0,454.53,0,0,0,0,0,
448851030.51,0.03,0.01,0,0,454.53,0,0,0,0,0,
448851028.49,0,0,0,0,454.53,0,0,0,0,0,
448851026.48,0,0,0.03,0,349.67,0,0,0,0,0,
448851024.46,0,0,0,0,454.53,0,0,0,0,0,
448851022.45,0.61,0.07,1.09,0.8,454.53,0,0,0,0,0,
448851020.43,0,0,0,0,454.66,0,0,0,0,0,
448851018.41,0.96,0.01,0.89,0.3,454.53,0,0,0,0,0,
448851016.40,0,0,0,0,454.53,0,0,0,0,0,
448851014.38,0,0,0,0,454.4,0,0,0,0,0,
448851012.37,0.32,0.04,0.1,0.45,454.53,0,0,0,0,0,
448851010.35,0,0,0,0,349.6,0,0,0,0,0,
448851008.33,0,0,0,0,454.53,0,0,0,0,0,
448851006.32,0,0,0,0,454.53,0,0,0,0,0,
448851004.30,0,0.01,0.03,0.13,454.55,0,0,0,0,0,
448851002.28,0,0,0,0,454.53,0,0,0,0,0,
448851000.27,0,0,0,0,454.53,0,0,0,0,0,
448850998.25,0,0,0,0,454.66,0,0,0,0,0,
448850996.24,0,0,0,0,454.6,0,0,0,0,0,
448850994.22,0,0,0,0,397.57,0,0,0,0,0,
448850992.20,4.45,0.08,2.59,0.67,410.14,0,0,0,0,0,
448850990.19,0.29,0.04,0.26,0.74,454.53,0,0,0,0,0,
448850988.17,0,0,0,0,454.53,0,0,0,0,0,
448850986.15,34.91,0.75,29.34,12.54,454.53,0,0,0,0,0,
448850984.14,0.13,0,0,0,454.53,0,0,0,0,0,
448850982.12,0,0,0,0.06,454.53,0,0,0,0,0,
448850980.11,0,0,0,0,454.53,0,0,0,0,0,
448850978.09,0.35,0.02,0.19,0.03,454.53,0,0,0,0,0,
448850976.07,0,0,0,0,349.73,0,0,0,0,0,
448850974.06,0,0,0,0,454.53,0,0,0,0,0,
448850972.04,0,0,0,0,454.53,0,0,0,0,0,
448850970.03,0.03,0.01,0.21,0.16,454.53,0,0,0,0,0,
448850968.01,0.67,0.02,1.02,0.27,454.53,0,0,0,0,0,
448850965.99,0,0,0,0,454.53,0,0,0,0,0,
448850963.98,0.19,0.01,0,0.13,454.53,0,0,0,0,0,
448850961.96,0,0,0,0,454.66,0,0,0,0,0,
448850959.95,0.03,0,0,0.03,349.47,0,0,0,0,0,
448850957.93,0,0,0,0,454.53,0,0,0,0,0,
448850955.91,0,0.01,0.13,0.03,454.53,0,0,0,0,0,
448850953.90,0,0,0,0,454.53,0,0,0,0,0,
448850951.88,0.06,0,0,0,454.53,0,0,0,0,0,
448850949.87,0,0,0,0,454.53,0,0,0,0,0,
448850947.85,0.7,0.04,1.57,0.77,454.53,0,0,0,0,0,
448850945.83,0.45,0.02,0.95,0.56,454.53,0,0,0,0,0,
448850943.82,0.03,0,0.32,0.13,349.6,0,0,0,0,0,
448850941.80,0.03,0,0.1,0.1,454.53,0,0,0,0,0,
448850939.79,0,0,0,0,454.66,0,0,0,0,0,
448850937.77,0,0,0.03,0,454.53,0,0,0,0,0,
448850935.75,0.26,0.02,0.74,0.48,454.53,0,0,0,0,0,
448850933.74,0,0,0,0,454.53,0,0,0,0,0,
448850931.72,0,0,0,0,454.53,0,0,0,0,0,
448850929.71,0,0,0,0,454.53,0,0,0,0,0,
448850927.69,0,0,0,0,441.47,0,0,0,0,0,
448850925.67,0.74,0.02,0.03,0.13,366.37,0,0,0,0,0,
448850923.66,0,0,0,0,454.53,0,0,0,0,0,
448850921.64,0,0,0,0,454.53,0,0,0,0,0,
448850919.63,2.02,0.08,0.64,0.54,454.53,0,0,0,0,0,
448850917.61,0,0,0,0,454.53,0,0,0,0,0,
448850915.59,0,0,0,0.03,454.53,0,0,0,0,0,
448850913.58,3.36,0.05,2.5,1.34,454.53,0,0,0,0,0,
448850911.56,2.82,0.09,3.97,1.79,454.53,0,0,0,0,0,
448850909.55,0,0,0.03,0.06,349.72,0,0,0,0,0,
448850907.53,1.82,0.04,2.21,1.09,454.54,0,0,0,0,0,
448850905.51,0,0,0,0,454.78,0,0,0,0,0,
448850903.50,0,0,0,0,454.66,0,0,0,0,0,
448850901.48,0,0,0,0,454.78,0,0,0,0,0,
448850899.47,0,0,0,0,454.66,0,0,0,0,0,
448850897.45,0.03,0,0,0,454.78,0,0,0,0,0,
448850895.43,0,0,0,0,454.66,0,0,0,0,0,
448850893.42,0,0,0,0.06,349.81,0,0,0,0,0,
448850891.40,0,0,0,0,454.66,0,0,0,0,0,
448850889.39,0,0,0.03,0,454.78,0,0,0,0,0,
448850887.37,7.68,0.23,7.3,3.39,454.66,0,0,0,0,0,
448850885.35,0,0,0,0,454.66,0,0,0,0,0,
448850883.34,0,0,0,0,454.66,0,0,0,0,0,
448850881.32,0,0,0,0,454.66,0,0,0,0,0,
448850879.31,0,0,0.03,0,454.78,0,0,0,0,0,
448850877.29,0,0,0,0.03,360.16,0,0,0,0,0,
448850875.27,2.24,0.04,1.57,0.58,447.87,0,0,0,0,0,
448850873.26,0,0,0,0.03,454.66,0,0,0,0,0,
448850871.24,0,0,0,0,454.66,0,0,0,0,0,
448850869.23,0,0,0,0,454.78,0,0,0,0,0,
448850867.21,0.22,0.02,0.1,0.1,454.66,0,0,0,0,0,
448850865.19,0,0,0,0,454.66,0,0,0,0,0,
448850863.18,1.34,0.01,1.79,0.35,454.78,0,0,0,0,0,
448850861.16,0,0,0,0,454.78,0,0,0,0,0,
448850859.15,0.06,0,0.03,0.22,349.73,0,0,0,0,0,
448850857.13,0,0,0,0,454.78,0,0,0,0,0,
448850855.11,0.06,0.03,0.29,0.42,454.66,0,0,0,0,0,
448850853.10,2.59,0.09,1.75,1.04,454.78,0,0,0,0,0,
448850851.08,47.39,1.29,48.16,19.55,454.66,0,0,0,0,0,
448850849.06,0,0,0,0,454.66,0,0,0,0,0,
448850847.05,0.1,0.02,0.1,0.29,454.66,0,0,0,0,0,
448850845.03,0,0.01,0,0.03,454.66,0,0,0,0,0,
448850843.01,11.2,0.35,9.57,4.54,349.6,0,0,0,0,0,
448850841.00,0,0,0,0,454.53,0,0,0,0,0,
448850838.98,0.35,0.03,0.35,0.51,454.64,0,0,0,0,0,
448850836.97,2.53,0.08,3.99,1.55,454.53,0,0,0,0,0,
448850834.95,0.1,0.01,0.03,0.1,454.53,0,0,0,0,0,
448850832.93,0.03,0.01,0.1,0.19,454.53,0,0,0,0,0,
448850830.92,14.98,0.42,17.34,7.46,454.53,0,0,0,0,0,
448850828.90,0,0,0,0,454.53,0,0,0,0,0,
448850826.89,0.83,0.03,1.63,0.7,349.6,0,0,0,0,0,
448850824.87,0,0,0,0,454.58,0,0,0,0,0,
448850822.85,44.96,1.07,36.03,12.06,454.53,0,0,0,0,0,
448850820.84,0,0,0,0,454.53,0,0,0,0,0,
448850818.82,2.56,0.08,1.91,0.75,454.54,0,0,0,0,0,
448850816.81,0,0,0,0,454.53,0,0,0,0,0,
448850814.79,5.89,0.09,2.62,1.6,454.53,0,0,0,0,0,
448850812.77,3.3,0.03,3.3,0.99,454.53,0,0,0,0,0,
448850810.75,263.54,7.93,224.74,125.59,402.18,0,0,0,0,0,
448850808.73,145.28,3.42,130.05,58.24,407.84,0,0,0,0,0,
