DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
448960289.42,141.38,1.23,120.67,17.47,454.53,0,0,0,0,0,
448960287.41,0.19,0,0.13,0.03,454.53,0,0,0,0,0,
448960285.39,0.16,0.01,0.03,0.06,349.6,0,0,0,0,0,
448960283.38,0.73,0.01,0.29,0.22,454.62,0,0,0,0,0,
448960281.36,0,0,0.03,0,454.78,0,0,0,0,0,
448960279.35,1.02,0.01,0.83,0.29,454.78,0,0,0,0,0,
448960277.33,4.22,0.02,1.47,0.1,454.67,0,0,0,0,0,
448960275.31,0,0,0,0,454.66,0,0,0,0,0,
448960273.30,0,0,0,0,454.78,0,0,0,0,0,
448960271.28,0,0,0,0,454.53,0,0,0,0,0,
448960269.27,0,0,0,0,451.97,0,0,0,0,0,
448960267.25,1.92,0.02,1.66,0.38,355.87,0,0,0,0,0,
448960265.23,0,0,0,0.03,454.53,0,0,0,0,0,
448960263.22,3.56,0.02,1.89,0.29,454.53,0,0,0,0,0,
448960261.20,0,0,0,0,454.53,0,0,0,0,0,
448960259.18,0,0,0,0,454.53,0,0,0,0,0,
448960257.17,0,0,0,0,454.53,0,0,0,0,0,
448960255.15,0,0,0,0,454.53,0,0,0,0,0,
448960253.13,0,0,0,0,454.53,0,0,0,0,0,
448960251.12,2.37,0.02,2.18,0.26,349.6,0,0,0,0,0,
448960249.10,0.02,0,0,0,454.66,0,0,0,0,0,
448960247.08,0,0,0,0,454.53,0,0,0,0,0,
448960245.07,0,0,0,0,454.66,0,0,0,0,0,
448960243.05,0.86,0.01,2.56,0.48,454.53,0,0,0,0,0,
448960241.04,2.78,0.01,3.36,0.26,454.53,0,0,0,0,0,
448960239.02,0,0,0,0,454.78,0,0,0,0,0,
448960237.00,0.03,0,0,0,454.62,0,0,0,0,0,
448960234.98,0.06,0,0.06,0.06,349.84,0,0,0,0,0,
448960232.97,0,0,0,0,454.66,0,0,0,0,0,
448960230.95,1.63,0.01,0.64,0.03,454.78,0,0,0,0,0,
448960228.94,0,0,0,0,454.76,0,0,0,0,0,
448960226.92,0.58,0.01,1.44,0.16,454.78,0,0,0,0,0,
448960224.90,0,0,0,0,454.66,0,0,0,0,0,
448960222.89,0.03,0,0.06,0.16,454.75,0,0,0,0,0,
448960220.87,0,0,0.03,0,454.78,0,0,0,0,0,
448960218.85,6.85,0.04,4.32,0.74,368,0,0,0,0,0,
448960216.83,55.32,0.43,50.95,9.18,441.46,0,0,0,0,0,
448960214.80,144.03,1.52,141.67,26.24,454.54,0,0,0,0,0,
448960212.79,0.03,0,0,0,454.53,0,0,0,0,0,
448960210.77,4.86,0.05,3.26,0.96,454.53,0,0,0,0,0,
448960208.75,140.14,1.55,125.06,27.39,454.53,0,0,0,0,0,
448960206.74,138.24,2.26,138.82,33.18,454.53,0,0,0,0,0,
448960204.73,0,0,0,0,454.53,0,0,0,0,0,
448960202.71,3.93,0.06,2.08,0.64,454.66,0,0,0,0,0,
448960200.69,0,0,0,0,349.6,0,0,0,0,0,
