DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
254553842.41,9.98,0.09,12.19,2.21,454.53,0,0,0,0,0,
254553840.39,0,0,0,0,454.53,0,0,0,0,0,
254553838.38,0,0,0,0,454.53,0,0,0,0,0,
254553836.36,0,0,0,0,454.66,0,0,0,0,0,
254553834.34,0.13,0,0.03,0.1,349.62,0,0,0,0,0,
254553832.33,0,0,0,0,454.78,0,0,0,0,0,
254553830.31,0,0,0,0.06,454.66,0,0,0,0,0,
254553828.30,0,0,0,0,454.66,0,0,0,0,0,
254553826.28,0.19,0.01,0.19,0.22,454.74,0,0,0,0,0,
254553824.27,0,0,0,0,454.66,0,0,0,0,0,
254553822.25,0,0,0,0.06,454.78,0,0,0,0,0,
254553820.24,0,0,0,0.03,454.66,0,0,0,0,0,
254553818.22,8.02,0.16,10.56,1.95,349.73,0,0,0,0,0,
254553816.20,0,0,0,0,454.53,0,0,0,0,0,
254553814.19,0,0,0,0,454.53,0,0,0,0,0,
254553812.17,0,0,0,0,454.53,0,0,0,0,0,
254553810.16,0,0,0,0,454.6,0,0,0,0,0,
254553808.14,0,0,0,0,454.53,0,0,0,0,0,
254553806.13,0.7,0.01,1.98,0.35,454.53,0,0,0,0,0,
254553804.11,0,0,0,0,454.53,0,0,0,0,0,
254553802.09,0,0,0,0,410.5,0,0,0,0,0,
254553800.08,0,0,0,0,397.32,0,0,0,0,0,
254553798.06,2.11,0.04,1.66,0.54,454.53,0,0,0,0,0,
254553796.05,0,0,0,0,454.53,0,0,0,0,0,
254553794.03,2.18,0.02,1.12,0.13,454.53,0,0,0,0,0,
254553792.01,0,0,0,0,454.53,0,0,0,0,0,
254553789.99,0,0,0,0,454.53,0,0,0,0,0,
254553787.97,4.03,0.06,1.95,0.54,454.53,0,0,0,0,0,
254553785.96,0,0,0,0,454.66,0,0,0,0,0,
254553783.94,6.34,0.08,2.91,0.9,349.6,0,0,0,0,0,
254553781.93,0,0,0,0,454.78,0,0,0,0,0,
254553779.91,0,0,0,0,454.78,0,0,0,0,0,
254553777.89,0,0,0,0.03,454.78,0,0,0,0,0,
254553775.88,0,0,0,0,454.78,0,0,0,0,0,
254553773.86,0,0,0,0,454.66,0,0,0,0,0,
254553771.85,0,0,0,0,454.78,0,0,0,0,0,
254553769.83,0,0,0,0,454.78,0,0,0,0,0,
254553767.82,0.06,0,0.06,0.03,349.85,0,0,0,0,0,
254553765.80,0,0,0,0,454.78,0,0,0,0,0,
254553763.78,0,0,0.03,0,454.66,0,0,0,0,0,
254553761.77,0,0,0,0,454.78,0,0,0,0,0,
254553759.75,0,0,0,0,454.78,0,0,0,0,0,
254553757.74,0.13,0,0.38,0.16,454.66,0,0,0,0,0,
254553755.72,0.29,0,0.35,0.1,454.78,0,0,0,0,0,
254553753.70,0,0,0,0,454.78,0,0,0,0,0,
254553751.69,0.03,0,0.22,0.13,349.73,0,0,0,0,0,
254553749.67,0,0,0,0,454.78,0,0,0,0,0,
254553747.66,0.7,0.01,0.7,0.22,454.56,0,0,0,0,0,
254553745.64,0,0,0,0,454.53,0,0,0,0,0,
254553743.62,0.19,0.01,0.13,0.16,454.66,0,0,0,0,0,
254553741.61,0,0,0.06,0,454.66,0,0,0,0,0,
254553739.59,0.16,0.01,0.1,0.03,454.53,0,0,0,0,0,
254553737.58,0,0,0,0,454.53,0,0,0,0,0,
254553735.56,0.64,0.01,0.74,0.51,453.38,0,0,0,0,0,
254553733.55,2.24,0.04,2.98,0.26,354.46,0,0,0,0,0,
254553731.53,1.98,0.02,1.34,0.35,454.53,0,0,0,0,0,
254553729.51,0,0,0,0,454.53,0,0,0,0,0,
254553727.50,0.29,0.02,0.03,0.16,454.53,0,0,0,0,0,
254553725.48,0.06,0,0.26,0,454.66,0,0,0,0,0,
254553723.47,8.22,0.11,5.98,1.34,454.53,0,0,0,0,0,
254553721.45,0.03,0,0.03,0.03,454.66,0,0,0,0,0,
254553719.44,0.22,0.01,0.22,0.35,454.58,0,0,0,0,0,
254553717.42,0.83,0,1.63,0.22,349.6,0,0,0,0,0,
254553715.40,6.24,0.07,7.01,1.47,454.53,0,0,0,0,0,
254553713.39,0,0,0,0,454.53,0,0,0,0,0,
254553711.37,5.62,0.05,3.84,0.86,454.53,0,0,0,0,0,
254553709.35,0.42,0.01,0.19,0.06,454.53,0,0,0,0,0,
254553707.32,147.57,4.68,114.87,39.35,454.53,0,0,0,0,0,
254553705.30,164.98,4.09,131.51,45.46,454.66,0,0,0,0,0,
254553703.28,211.71,5.13,156.31,77.13,454.78,0,0,0,0,0,
254553701.25,167.06,3.77,149.7,58.16,349.6,0,0,0,0,0,
254553699.23,184.26,4.33,165.59,69.59,454.53,0,0,0,0,0,
254553697.20,171.9,5.62,136.74,84.79,454.78,0,0,0,0,0,
254553695.19,185.62,4.64,174.62,85.49,454.53,0,0,0,0,0,
254553693.16,169.95,4.53,156.67,97.47,454.66,0,0,0,0,0,
254553691.15,2.27,0.02,1.86,0.58,454.66,0,0,0,0,0,
254553689.13,0,0,0,0,454.66,0,0,0,0,0,
254553687.11,0,0,0,0,454.68,0,0,0,0,0,
254553685.10,0,0,0,0,357.89,0,0,0,0,0,
254553683.08,4.56,0.09,1.38,0.45,450.05,0,0,0,0,0,
254553681.07,0,0,0,0,454.78,0,0,0,0,0,
254553679.05,0,0,0,0,454.66,0,0,0,0,0,
254553677.04,0,0,0,0,454.78,0,0,0,0,0,
254553675.02,0,0,0,0,454.66,0,0,0,0,0,
254553673.00,3.46,0.04,3.04,0.51,454.78,0,0,0,0,0,
254553670.99,0,0,0,0,454.66,0,0,0,0,0,
254553668.97,24.22,0.3,28.96,11.47,454.66,0,0,0,0,0,
254553666.95,0.16,0,0,0,349.86,0,0,0,0,0,
254553664.94,0,0,0,0,454.66,0,0,0,0,0,
254553662.92,0.32,0.01,0.35,0.22,454.66,0,0,0,0,0,
254553660.91,0,0,0,0,454.66,0,0,0,0,0,
254553658.89,0.13,0.01,0.42,0.16,454.78,0,0,0,0,0,
254553656.87,0,0,0,0,454.78,0,0,0,0,0,
254553654.86,0.83,0.01,0.48,0.19,454.66,0,0,0,0,0,
254553652.84,0,0,0,0,454.78,0,0,0,0,0,
254553650.83,0.13,0.01,0.32,0.13,349.86,0,0,0,0,0,
254553648.81,0,0,0,0,454.78,0,0,0,0,0,
254553646.80,0,0,0.03,0,454.78,0,0,0,0,0,
254553644.78,0.03,0,0.03,0,454.71,0,0,0,0,0,
254553642.76,1.42,0.03,1.15,0.42,454.78,0,0,0,0,0,
254553640.75,1.4,0.02,2.43,0.22,454.78,0,0,0,0,0,
254553638.73,0.16,0,0.38,0.1,454.53,0,0,0,0,0,
254553636.72,0,0,0,0,454.53,0,0,0,0,0,
254553634.70,0.06,0.02,0.42,0.58,349.6,0,0,0,0,0,
254553632.69,2.56,0.02,3.07,0.58,454.66,0,0,0,0,0,
254553630.67,4.51,0.04,3.46,0.61,454.78,0,0,0,0,0,
254553628.66,0,0,0,0,454.78,0,0,0,0,0,
254553626.65,0.35,0.02,0.86,0.29,454.69,0,0,0,0,0,
254553624.63,1.21,0.01,0.99,0.19,454.66,0,0,0,0,0,
